Reprezentacija,Poraz od,Poraz datum,Prethodni poraz od,Prethodni poraz datum,Period-dana
Yugoslavia,Basque Country,1997-12-26,Netherlands,1992-03-25,2102
North Korea,Kuwait,1998-09-13,South Korea,1993-10-28,1781
Cuba,Trinidad and Tobago,1992-06-24,Guatemala,1988-04-30,1516
Haiti,Colombia,1989-06-27,Guatemala,1985-05-15,1504
North Korea,Syria,2023-11-16,Turkmenistan,2019-11-14,1463
Mexico,Canada,1990-05-13,England,1986-05-17,1457
United States,Guatemala,1984-10-14,Mexico,1980-11-09,1435
DR Congo,Ivory Coast,1985-03-05,Ghana,1981-08-02,1311
Spain,France,1998-01-28,Italy,1994-07-09,1299
Argentina,Saudi Arabia,2022-11-22,Brazil,2019-07-02,1239
Panama,Cuba,1984-03-18,Honduras,1980-12-14,1190
Algeria,Equatorial Guinea,2022-01-16,Benin,2018-10-16,1188
Trinidad and Tobago,Canada,1988-10-02,Costa Rica,1985-07-18,1172
Iraq,China PR,2000-09-03,Kazakhstan,1997-06-29,1162
Iraq,Saudi Arabia,1996-12-08,North Korea,1993-10-15,1150
Argentina,Colombia,1993-08-15,Germany,1990-07-08,1134
Italy,Spain,2021-10-06,Portugal,2018-09-10,1122
Cuba,Trinidad and Tobago,1995-07-19,Trinidad and Tobago,1992-06-24,1120
France,Denmark,1996-11-09,Bulgaria,1993-11-17,1088
France,England,1992-02-19,Scotland,1989-03-08,1078
